Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_100_595,VPWR,li1,279.9100,285.6000,1.799843
FILLER_100_592,VPWR,li1,278.5300,285.6000,1.799843
FILLER_100_589,VPWR,li1,277.1500,285.6000,1.799843
FILLER_100_586,VPWR,li1,275.5400,285.6000,1.799843
FILLER_100_583,VPWR,li1,274.3900,285.6000,1.799843
FILLER_100_572,VPWR,li1,269.3300,285.6000,1.799843
FILLER_100_569,VPWR,li1,267.9500,285.6000,1.799843
FILLER_100_566,VPWR,li1,266.5700,285.6000,1.799843
FILLER_100_559,VPWR,li1,262.8900,285.6000,1.799844
FILLER_100_549,VPWR,li1,258.5200,285.6000,1.799845
FILLER_100_542,VPWR,li1,255.5300,285.6000,1.799846
FILLER_100_539,VPWR,li1,254.1500,285.6000,1.799848
FILLER_100_536,VPWR,li1,252.7700,285.6000,1.799848
FILLER_100_533,VPWR,li1,251.3900,285.6000,1.799849
FILLER_100_529,VPWR,li1,249.5500,285.6000,1.799850
FILLER_100_526,VPWR,li1,248.1700,285.6000,1.799850
FILLER_100_523,VPWR,li1,246.7900,285.6000,1.799852
FILLER_100_520,VPWR,li1,245.4100,285.6000,1.799852
FILLER_100_517,VPWR,li1,244.0300,285.6000,1.799853
FILLER_100_514,VPWR,li1,242.6500,285.6000,1.799853
FILLER_100_511,VPWR,li1,241.2700,285.6000,1.799854
FILLER_100_508,VPWR,li1,239.8900,285.6000,1.799854
FILLER_100_505,VPWR,li1,238.5100,285.6000,1.799856
FILLER_100_501,VPWR,li1,236.6700,285.6000,1.799857
FILLER_100_498,VPWR,li1,235.2900,285.6000,1.799857
FILLER_100_495,VPWR,li1,233.9100,285.6000,1.799858
FILLER_100_492,VPWR,li1,232.5300,285.6000,1.799858
FILLER_100_489,VPWR,li1,231.1500,285.6000,1.799860
FILLER_100_486,VPWR,li1,229.7700,285.6000,1.799860
FILLER_100_483,VPWR,li1,228.3900,285.6000,1.799861
FILLER_100_480,VPWR,li1,227.0100,285.6000,1.799861
FILLER_100_477,VPWR,li1,225.6300,285.6000,1.799862
FILLER_100_473,VPWR,li1,223.7900,285.6000,1.799863
FILLER_100_470,VPWR,li1,222.4100,285.6000,1.799863
FILLER_100_467,VPWR,li1,221.0300,285.6000,1.799865
FILLER_100_464,VPWR,li1,219.6500,285.6000,1.799865
FILLER_100_461,VPWR,li1,218.2700,285.6000,1.799866
FILLER_100_458,VPWR,li1,216.8900,285.6000,1.799866
FILLER_100_455,VPWR,li1,215.5100,285.6000,1.799868
FILLER_100_452,VPWR,li1,214.1300,285.6000,1.799868
FILLER_100_449,VPWR,li1,212.7500,285.6000,1.799869
FILLER_100_447,VPWR,li1,211.3700,285.6000,1.799869
FILLER_100_415,VPWR,li1,196.8800,285.6000,1.799879
FILLER_100_396,VPWR,li1,188.3700,285.6000,1.799888
FILLER_100_393,VPWR,li1,186.9900,285.6000,1.799890
FILLER_100_363,VPWR,li1,172.7300,285.6000,1.799925
FILLER_100_360,VPWR,li1,171.8100,285.6000,1.799923
FILLER_100_357,VPWR,li1,170.4300,285.6000,1.799923
FILLER_100_354,VPWR,li1,169.0500,285.6000,1.799920
FILLER_100_351,VPWR,li1,167.6700,285.6000,1.799920
FILLER_100_348,VPWR,li1,166.2900,285.6000,1.799917
FILLER_100_345,VPWR,li1,164.9100,285.6000,1.799917
FILLER_100_330,VPWR,li1,157.5500,285.6000,1.799909
FILLER_100_327,VPWR,li1,156.6300,285.6000,1.799909
FILLER_100_324,VPWR,li1,155.2500,285.6000,1.799906
FILLER_100_321,VPWR,li1,153.8700,285.6000,1.799906
FILLER_100_318,VPWR,li1,152.4900,285.6000,1.799904
FILLER_100_315,VPWR,li1,151.1100,285.6000,1.799904
FILLER_100_312,VPWR,li1,149.7300,285.6000,1.799901
FILLER_100_309,VPWR,li1,148.3500,285.6000,1.799901
FILLER_100_305,VPWR,li1,146.5100,285.6000,1.799899
FILLER_100_302,VPWR,li1,145.1300,285.6000,1.799897
FILLER_100_299,VPWR,li1,143.7500,285.6000,1.799897
FILLER_100_287,VPWR,li1,138.0000,285.6000,1.799891
FILLER_100_284,VPWR,li1,136.8500,285.6000,1.799891
FILLER_100_281,VPWR,li1,135.4700,285.6000,1.799889
FILLER_100_277,VPWR,li1,133.6300,285.6000,1.799887
FILLER_100_274,VPWR,li1,132.2500,285.6000,1.799887
FILLER_100_271,VPWR,li1,130.8700,285.6000,1.799885
FILLER_100_268,VPWR,li1,129.4900,285.6000,1.799885
FILLER_100_265,VPWR,li1,128.1100,285.6000,1.799882
FILLER_100_262,VPWR,li1,126.7300,285.6000,1.799882
FILLER_100_259,VPWR,li1,125.3500,285.6000,1.799880
FILLER_100_256,VPWR,li1,123.9700,285.6000,1.799880
FILLER_100_253,VPWR,li1,122.5900,285.6000,1.799878
FILLER_100_251,VPWR,li1,121.2100,285.6000,1.799878
FILLER_100_248,VPWR,li1,120.2900,285.6000,1.799876
FILLER_100_245,VPWR,li1,118.9100,285.6000,1.799876
FILLER_100_242,VPWR,li1,117.5300,285.6000,1.799874
FILLER_100_239,VPWR,li1,116.1500,285.6000,1.799874
FILLER_100_236,VPWR,li1,114.7700,285.6000,1.799871
FILLER_100_233,VPWR,li1,113.3900,285.6000,1.799871
FILLER_100_223,VPWR,li1,108.3300,285.6000,1.799868
FILLER_100_197,VPWR,li1,96.6000,285.6000,1.799864
FILLER_100_193,VPWR,li1,94.9900,285.6000,1.799863
FILLER_100_190,VPWR,li1,93.6100,285.6000,1.799863
FILLER_100_169,VPWR,li1,83.9500,285.6000,1.799864
FILLER_100_157,VPWR,li1,78.4300,285.6000,1.799867
FILLER_100_154,VPWR,li1,77.0500,285.6000,1.799867
FILLER_100_141,VPWR,li1,71.0700,285.6000,1.799871
FILLER_100_137,VPWR,li1,69.2300,285.6000,1.799873
FILLER_100_134,VPWR,li1,67.8500,285.6000,1.799875
FILLER_100_121,VPWR,li1,61.6400,285.6000,1.799883
FILLER_100_116,VPWR,li1,59.1100,285.6000,1.799886
FILLER_100_113,VPWR,li1,58.1900,285.6000,1.799886
FILLER_100_111,VPWR,li1,56.8100,285.6000,1.799890
FILLER_100_108,VPWR,li1,55.8900,285.6000,1.799890
FILLER_100_103,VPWR,li1,53.1300,285.6000,1.799894
FILLER_100_100,VPWR,li1,52.2100,285.6000,1.799899
FILLER_100_97,VPWR,li1,50.8300,285.6000,1.799899
FILLER_100_94,VPWR,li1,49.4500,285.6000,1.799905
FILLER_100_91,VPWR,li1,48.0700,285.6000,1.799905
